Title,Land Size,Location,Total Price,Monthly Payment
Land For Sale In Homagama,6 Perches,,"4,500,000","63,937"
House For Rent In Kadawatha,"Beds-2, Baths-1 Size-1500sqft",,,"49,000"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
Room For Rent In Talawatugoda,"Beds-1, Baths-1",,,"12,000"
Land For Sale In Horana,10 Perches,,"3,250,000","46,177"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
Apartment For Rent In Colombo 07,"Beds-4, Baths-4 Size-2280sqft",,,"490,000"
Land For Sale In Kadawatha,18 Perches,,"10,800,000","153,450"
Land For Sale In Minuwangoda,12 Perches,,"6,000,000","85,250"
House For Sale In Kirillawala,"Beds-3, Baths-2 Size-1500sqft",,"16,500,000","234,437"
Annexe For Rent In Minuwangoda,"Beds-1, Baths-1",,,"15,000"
Shop For Sale In Beligamuwa,sqft,,"7,000,000","99,458"
House For Sale In Wattala,"Beds-2, Baths-2 Size-900sqft",,"28,000,000","397,832"
Land For Sale In Gampaha,9 Perches,,"20,700,000","294,112"
House For Sale In Panadura,"Beds-2, Baths-1 Size-2000sqft",,"19,500,000","277,062"
House For Rent In Mawanella,"Beds-2, Baths-1 Size-2800sqft",,,
Land For Sale In Wellawaya,240 Perches,,"5,000,000","71,041"
House For Sale In Neluwa,"Beds-3, Baths-1 Size-8984sqft",,"20,000,000","284,166"
Land For Sale In Panadura,12 Perches,,"21,900,000","311,162"
House For Sale In Kiriwattuduwa,"Beds-3, Baths-1 Size-1071sqft",,"9,000,000","127,875"
House For Sale In Weligama,"Beds-5, Baths-2 Size-sqft",,"21,000,000","298,374"
House For Rent In Kiribathgoda,"Beds-1, Baths-1 Size-350sqft",,,"20,000"
House For Rent In Hokandara,"Beds-3, Baths-3 Size-1750sqft",,,"55,000"
House For Rent In Udugampola,"Beds-2, Baths-1 Size-950sqft",,,"34,000"
House For Rent In Ragama,"Beds-2, Baths-2 Size-2500sqft",,,"35,000"
House For Sale In Alawwa,"Beds-4, Baths-1 Size-1250sqft",,,
House For Sale In Pannipitiya,"Beds-3, Baths-2 Size-4356sqft",,"41,000,000","582,540"
Land For Sale In Weliveriya,20 Perches,,"3,800,000","53,992"
House For Sale In Pokunuwita,"Beds-1, Baths-1 Size-2000sqft",,"25,000,000","355,207"
Land With House For Sale In Kiribathgoda,67 Perches,,"21,775,000","309,386"
Land For Sale In Matara,10.5 Perches,,"4,725,000","67,134"
